index,Title,IMDb rating,Popularity score,Genres,Release year,Duration,Storyline,Box office,Votes
2,The Shawshank Redemption,9.30 ,81.00 ,Drama,1994,142,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",28341469.00 ,2669359
4,A Christmas Carol,6.80 ,55.00 ,Animation,2009,96,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",137855863.00 ,117329
5,Stand by Me,8.10 ,75.00 ,Adventure,1986,89,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",52287414.00 ,404745
7,The Muppet Christmas Carol,7.70 ,64.00 ,Comedy,1992,85,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,27281507.00 ,59687
8,The Thing,8.20 ,57.00 ,Horror,1982,109,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,13782838.00 ,426170
9,The Mist,7.10 ,58.00 ,Horror,2007,126,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",25594957.00 ,313381
11,Coraline,7.70 ,80.00 ,Animation,2009,100,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",75286229.00 ,231837
12,Hellraiser,6.90 ,56.00 ,Horror,1987,94,"A woman discovers the newly resurrected, partially formed, body of her brother-in-law. She starts killing for him to revitalize his body so he can escape the demonic beings that are pursuing him after he escaped their sadistic underworld.",14564027.00 ,129031
14,I Am Legend,7.20 ,65.00 ,Action,2007,101,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",256386216.00 ,758983
15,Adore,6.20 ,37.00 ,Drama,2013,112,A pair of childhood friends and neighbors fall for each other's sons.,317125.00 ,35013
16,The Birds,7.60 ,90.00 ,Drama,1963,119,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,11403529.00 ,190807
18,The Thing,6.20 ,49.00 ,Horror,2011,103,"At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.",16928670.00 ,134029
19,The Best Years of Our Lives,8.10 ,93.00 ,Drama,1946,170,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",23650000.00 ,65233
20,Revenge,6.20 ,35.00 ,Action,1990,124,"A retired US Navy pilot comes to Mexico, where he falls in love with the wife of a powerful businessman. The consequences will be cruel and unforeseen.",15650000.00 ,19222
24,Enemy Mine,6.80 ,59.00 ,Action,1985,108,"During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust.",4271684.00 ,48647
28,A Boy and His Dog,6.40 ,68.00 ,Comedy,1975,91,A young man and his telepathic dog wander a post-apocalyptic wasteland.,6900000.00 ,18074
29,Apt Pupil,6.70 ,51.00 ,Crime,1998,111,A boy blackmails his neighbor after suspecting him to be a Nazi war criminal.,8838938.00 ,39630
30,Albert Nobbs,6.70 ,57.00 ,Drama,2011,113,"Albert Nobbs struggles to survive in late 19th-century Ireland, where women aren't encouraged to be independent. Posing as a man so she can work as a butler in Dublin's most elegant hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",3014696.00 ,24820
34,Hearts in Atlantis,6.90 ,55.00 ,Drama,2001,101,Widowed Liz Garfield and her son Bobby change when mysterious stranger Ted Brautigan enters their lives.,24185781.00 ,39347
41,Kit Kittredge: An American Girl,6.50 ,63.00 ,Comedy,2008,101,"Set in Cincinnati at the height of the Great Depression, Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job.",17655201.00 ,6110
45,Youth Without Youth,6.10 ,43.00 ,Drama,2007,124,"A love story wrapped in a mystery. Set in World War II Europe, a professor is changed by a cataclysmic event and explores the mysteries of life.",244397.00 ,13720
